sample,barcode,r1_path,r2_path,metadata
TY02, ,data/raw/TY02/TY02_R1.fq.gz,data/raw/TY02/TY02_R2.fq.gz,TY02
TY10, ,data/raw/TY10/TY10_R1.fq.gz,data/raw/TY10/TY10_R2.fq.gz,TY10
TY100, ,data/raw/TY100/TY100_R1.fq.gz,data/raw/TY100/TY100_R2.fq.gz,TY100
TY101, ,data/raw/TY101/TY101_R1.fq.gz,data/raw/TY101/TY101_R2.fq.gz,TY101
TY102, ,data/raw/TY102/TY102_R1.fq.gz,data/raw/TY102/TY102_R2.fq.gz,TY102
TY11, ,data/raw/TY11/TY11_R1.fq.gz,data/raw/TY11/TY11_R2.fq.gz,TY11
TY13, ,data/raw/TY13/TY13_R1.fq.gz,data/raw/TY13/TY13_R2.fq.gz,TY13
TY15, ,data/raw/TY15/TY15_R1.fq.gz,data/raw/TY15/TY15_R2.fq.gz,TY15
TY17, ,data/raw/TY17/TY17_R1.fq.gz,data/raw/TY17/TY17_R2.fq.gz,TY17
TY18, ,data/raw/TY18/TY18_R1.fq.gz,data/raw/TY18/TY18_R2.fq.gz,TY18
TY19, ,data/raw/TY19/TY19_R1.fq.gz,data/raw/TY19/TY19_R2.fq.gz,TY19
TY20, ,data/raw/TY20/TY20_R1.fq.gz,data/raw/TY20/TY20_R2.fq.gz,TY20
TY21, ,data/raw/TY21/TY21_R1.fq.gz,data/raw/TY21/TY21_R2.fq.gz,TY21
TY22, ,data/raw/TY22/TY22_R1.fq.gz,data/raw/TY22/TY22_R2.fq.gz,TY22
TY23, ,data/raw/TY23/TY23_R1.fq.gz,data/raw/TY23/TY23_R2.fq.gz,TY23
TY24, ,data/raw/TY24/TY24_R1.fq.gz,data/raw/TY24/TY24_R2.fq.gz,TY24
TY25, ,data/raw/TY25/TY25_R1.fq.gz,data/raw/TY25/TY25_R2.fq.gz,TY25
TY86, ,data/raw/TY86/TY86_R1.fq.gz,data/raw/TY86/TY86_R2.fq.gz,TY86
TY87, ,data/raw/TY87/TY87_R1.fq.gz,data/raw/TY87/TY87_R2.fq.gz,TY87
TY88, ,data/raw/TY88/TY88_R1.fq.gz,data/raw/TY88/TY88_R2.fq.gz,TY88
TY89, ,data/raw/TY89/TY89_R1.fq.gz,data/raw/TY89/TY89_R2.fq.gz,TY89
TY90, ,data/raw/TY90/TY90_R1.fq.gz,data/raw/TY90/TY90_R2.fq.gz,TY90
TY91, ,data/raw/TY91/TY91_R1.fq.gz,data/raw/TY91/TY91_R2.fq.gz,TY91
TY93, ,data/raw/TY93/TY93_R1.fq.gz,data/raw/TY93/TY93_R2.fq.gz,TY93
TY94, ,data/raw/TY94/TY94_R1.fq.gz,data/raw/TY94/TY94_R2.fq.gz,TY94
TY95, ,data/raw/TY95/TY95_R1.fq.gz,data/raw/TY95/TY95_R2.fq.gz,TY95
TY96, ,data/raw/TY96/TY96_R1.fq.gz,data/raw/TY96/TY96_R2.fq.gz,TY96
